Time [s],Packet ID,MOSI,MISO
2.9594352188,0,0x80,0xAA
2.9594405312,0,0x01,0xAA
3.9593782812,1,0x93,0xAA
3.9593806875,1,0x30,0xAA
3.9593993750,2,0x97,0xA2
3.9594018125,2,0x06,0xA2
3.9594042500,2,0x00,0xA2
3.9594066875,2,0x01,0xA2
3.9594091250,2,0x40,0xA2
4.4593906875,3,0x07,0xA2
4.4593931250,3,0x00,0xA2
4.4593955625,3,0x00,0xA2
4.4594085625,4,0x9D,0xA2
4.4594110000,4,0x01,0xA2
4.4594278438,5,0x8A,0xA2
4.4594302813,5,0x01,0xA2
4.4594561875,6,0x86,0xA2
4.4594586250,6,0x31,0xA2
4.4594610625,6,0x58,0xA2
4.4594635000,6,0xE1,0xA2
4.4594659375,6,0xA3,0xA2
4.4595352813,7,0x95,0xA2
4.4595376875,7,0x02,0xA2
4.4595401250,7,0x02,0xA2
4.4595425625,7,0x00,0xA2
4.4595450000,7,0x01,0xA2
4.4595661250,8,0x8E,0xA2
4.4595685313,8,0x05,0xA2
4.4595709687,8,0x00,0xA2
4.4595888437,9,0x8B,0xA2
4.4595912812,9,0x0A,0xA2
4.4595937187,9,0x06,0xA2
4.4595961562,9,0x01,0xA2
4.4595985938,9,0x00,0xA2
4.4596010313,9,0x00,0xA2
4.4596034688,9,0x00,0xA2
4.4596059063,9,0x00,0xA2
4.4596083438,9,0x00,0xA2
4.7912568125,10,0x8C,0xA2
4.7912592500,10,0x00,0xA2
4.7912616875,10,0x08,0xA2
4.7912641250,10,0x00,0xA2
4.7912665625,10,0x14,0xA2
4.7912690000,10,0x01,0xA2
4.7912714375,10,0x00,0xA2
4.7912950937,11,0x0E,0xA2
4.7912975312,11,0x00,0xA2
4.7912999687,11,0x00,0xA2
4.7913024062,11,0x00,0xA2
4.7913048437,11,0xBC,0xA2
4.7913072812,11,0x41,0xA2
4.7913097188,11,0x0A,0xA2
4.7913121563,11,0xD7,0xA2
4.7913145938,11,0xB7,0xA2
4.7913170313,11,0x41,0xA2
4.7913194688,11,0x00,0xA2
4.7913219063,11,0x90,0xA2
4.7913243438,11,0x74,0xA2
4.7913267813,11,0x44,0xA2
4.7913292187,11,0x28,0xA2
4.7913316562,11,0x85,0xA2
4.7913340937,11,0x28,0xA2
4.7913365312,11,0x42,0xA2
4.7913389687,11,0x00,0xA2
4.7913414062,11,0x00,0xA2
4.7913438438,11,0x00,0xA2
4.7913462813,11,0x00,0xA2
4.7913600000,12,0x83,0xA2
4.7913624375,12,0x00,0xA2
4.7913648750,12,0x00,0xA2
4.7913673125,12,0x00,0xA2
5.2914128437,13,0x17,0xBC
5.2914152500,13,0x00,0xBC
5.2914177188,13,0x00,0x00
5.2914201563,13,0x00,0x00
5.2915335625,14,0xC0,0xBC
5.2915359687,14,0x00,0x3C
5.5110928125,15,0x8C,0xBC
5.5110952188,15,0x00,0xBC
5.5110976562,15,0x08,0xBC
5.5111000937,15,0x00,0xBC
5.5111025312,15,0x14,0xBC
5.5111049687,15,0x01,0xBC
5.5111074062,15,0x00,0xBC
5.5111281250,16,0x0E,0xB2
5.5111305625,16,0x00,0xB2
5.5111330000,16,0x00,0xB2
5.5111354375,16,0x00,0xB2
5.5111378750,16,0xBC,0xB2
5.5111403125,16,0x41,0xB2
5.5111427500,16,0x85,0xB2
5.5111451875,16,0xEB,0xB2
5.5111476250,16,0xB7,0xB2
5.5111500625,16,0x41,0xB2
5.5111525000,16,0xA4,0xB2
5.5111549375,16,0x90,0xB2
5.5111573750,16,0x74,0xB2
5.5111598125,16,0x44,0xB2
5.5111622500,16,0x28,0xB2
5.5111646875,16,0x85,0xB2
5.5111671250,16,0x28,0xB2
5.5111695625,16,0x42,0xB2
5.5111720000,16,0x00,0xB2
5.5111744375,16,0x00,0xB2
5.5111768750,16,0x00,0xB2
5.5111793125,16,0x00,0xB2
5.5111921562,17,0x83,0xB2
5.5111945938,17,0x00,0xB2
5.5111970313,17,0x00,0xB2
5.5111994688,17,0x00,0xB2
6.0114299063,18,0x17,0xBC
6.0114323125,18,0x00,0xBC
6.0114347813,18,0x00,0x00
6.0114372188,18,0x00,0x00
6.0115397187,19,0xC0,0xBC
6.0115421250,19,0x00,0x3C
6.2311063750,20,0x8C,0xBC
6.2311087812,20,0x00,0xBC
6.2311112187,20,0x08,0xBC
6.2311136562,20,0x00,0xBC
6.2311160937,20,0x14,0xBC
